source,target,type,weight
33,1,spatial,0.0
33,2,spatial,0.0
33,3,spatial,0.0
33,4,spatial,0.0
33,5,spatial,0.0
33,6,spatial,0.0
33,7,spatial,0.0
34,0,spatial,0.0
34,1,spatial,0.0
34,2,spatial,0.0
34,3,spatial,0.0
34,4,spatial,0.0
34,5,spatial,0.0
34,6,spatial,0.0
34,7,spatial,0.0
35,0,spatial,0.0
35,1,spatial,0.0
35,2,spatial,0.0
35,3,spatial,0.0
35,4,spatial,0.0
35,5,spatial,0.0
35,6,spatial,0.0
35,7,spatial,0.0
36,0,spatial,0.0
36,1,spatial,0.0
36,2,spatial,0.0
36,3,spatial,0.0
36,4,spatial,0.0
36,5,spatial,0.0
36,6,spatial,0.0
36,7,spatial,0.0
37,0,spatial,0.0
37,1,spatial,0.0
37,2,spatial,0.0
37,3,spatial,0.0
37,4,spatial,0.0
37,5,spatial,0.0
37,6,spatial,0.0
37,7,spatial,0.0
38,0,spatial,0.0
38,1,spatial,0.0
38,2,spatial,0.0
38,3,spatial,0.0
38,4,spatial,0.0
38,5,spatial,0.0
38,6,spatial,0.0
38,7,spatial,0.0
39,0,spatial,0.0
39,1,spatial,0.0
39,2,spatial,0.0
39,3,spatial,0.0
39,4,spatial,0.0
39,5,spatial,0.0
39,6,spatial,0.0
39,7,spatial,0.0
40,0,spatial,0.0
40,1,spatial,0.0
40,2,spatial,0.0
40,3,spatial,0.0
40,4,spatial,0.0
40,5,spatial,0.0
40,6,spatial,0.0
40,7,spatial,0.0
41,0,spatial,0.0
41,1,spatial,0.0
41,2,spatial,0.0
41,3,spatial,0.0
41,4,spatial,0.0
41,5,spatial,0.0
41,6,spatial,0.0
41,7,spatial,0.0
42,0,spatial,0.0
42,1,spatial,0.0
42,2,spatial,0.0
42,3,spatial,0.0
42,4,spatial,0.0
42,5,spatial,0.0
42,6,spatial,0.0
42,7,spatial,0.0
43,0,spatial,0.0
43,1,spatial,0.0
43,2,spatial,0.0
43,3,spatial,0.0
43,4,spatial,0.0
43,5,spatial,0.0
43,6,spatial,0.0
43,7,spatial,0.0
44,0,spatial,0.0
44,1,spatial,0.0
44,2,spatial,0.0
44,3,spatial,0.0
44,4,spatial,0.0
44,5,spatial,0.0
44,6,spatial,0.0
44,7,spatial,0.0
45,0,spatial,0.0
45,1,spatial,0.0
45,2,spatial,0.0
45,3,spatial,0.0
45,4,spatial,0.0
45,5,spatial,0.0
45,6,spatial,0.0
45,7,spatial,0.0
46,0,spatial,0.0
46,1,spatial,0.0
46,2,spatial,0.0
46,3,spatial,0.0
46,4,spatial,0.0
46,5,spatial,0.0
46,6,spatial,0.0
46,7,spatial,0.0
47,0,spatial,0.0
47,1,spatial,0.0
47,2,spatial,0.0
47,3,spatial,0.0
47,4,spatial,0.0
47,5,spatial,0.0
47,6,spatial,0.0
47,7,spatial,0.0
48,0,spatial,0.0
48,1,spatial,0.0
48,2,spatial,0.0
48,3,spatial,0.0
48,4,spatial,0.0
48,5,spatial,0.0
48,6,spatial,0.0
48,7,spatial,0.0
49,0,spatial,0.0
49,1,spatial,0.0
49,2,spatial,0.0
49,3,spatial,0.0
49,4,spatial,0.0
49,5,spatial,0.0
49,6,spatial,0.0
49,7,spatial,0.0
50,0,spatial,0.0
50,1,spatial,0.0
50,2,spatial,0.0
50,3,spatial,0.0
50,4,spatial,0.0
50,5,spatial,0.0
50,6,spatial,0.0
50,7,spatial,0.0
51,0,spatial,0.0
51,1,spatial,0.0
51,2,spatial,0.0
51,3,spatial,0.0
51,4,spatial,0.0
51,5,spatial,0.0
51,6,spatial,0.0
51,7,spatial,0.0
52,0,spatial,0.0
52,1,spatial,0.0
52,2,spatial,0.0
52,3,spatial,0.0
52,4,spatial,0.0
52,5,spatial,0.0
52,6,spatial,0.0
52,7,spatial,0.0
53,0,spatial,0.0
53,1,spatial,0.0
53,2,spatial,0.0
53,3,spatial,0.0
53,4,spatial,0.0
53,5,spatial,0.0
53,6,spatial,0.0
53,7,spatial,0.0
54,0,spatial,0.0
54,1,spatial,0.0
54,2,spatial,0.0
54,3,spatial,0.0
54,4,spatial,0.0
54,5,spatial,0.0
54,6,spatial,0.0
54,7,spatial,0.0
55,0,spatial,0.0
55,1,spatial,0.0
55,2,spatial,0.0
55,3,spatial,0.0
55,4,spatial,0.0
55,5,spatial,0.0
55,6,spatial,0.0
55,7,spatial,0.0
56,0,spatial,0.0
56,1,spatial,0.0
56,2,spatial,0.0
56,3,spatial,0.0
56,4,spatial,0.0
56,5,spatial,0.0
56,6,spatial,0.0
56,7,spatial,0.0
57,0,spatial,0.0
57,1,spatial,0.0
57,2,spatial,0.0
57,3,spatial,0.0
57,4,spatial,0.0
57,5,spatial,0.0
57,6,spatial,0.0
57,7,spatial,0.0
58,0,spatial,0.0
58,1,spatial,0.0
58,2,spatial,0.0
58,3,spatial,0.0
58,4,spatial,0.0
58,5,spatial,0.0
58,6,spatial,0.0
58,7,spatial,0.0
59,0,spatial,0.0
59,1,spatial,0.0
59,2,spatial,0.0
59,3,spatial,0.0
59,4,spatial,0.0
59,5,spatial,0.0
59,6,spatial,0.0
59,7,spatial,0.0
60,0,spatial,0.0
60,1,spatial,0.0
60,2,spatial,0.0
60,3,spatial,0.0
60,4,spatial,0.0
60,5,spatial,0.0
60,6,spatial,0.0
60,7,spatial,0.0
61,0,spatial,0.0
61,1,spatial,0.0
61,2,spatial,0.0
61,3,spatial,0.0
61,4,spatial,0.0
61,5,spatial,0.0
61,6,spatial,0.0
61,7,spatial,0.0
62,0,spatial,0.0
62,1,spatial,0.0
62,2,spatial,0.0
62,3,spatial,0.0
62,4,spatial,0.0
62,5,spatial,0.0
62,6,spatial,0.0
